Rep,Variety,Fungicide,weight_kg,DON_ppm,yield_bu_ac,PIK
A,Violetta,Prosaro,1.0754062720994875,0.050424868803557066,80.9468233779183,11
A,Violetta,Miravis Ace,1.4398030929658425,0.06059087296722529,99.71023942661286,11
A,Violetta,Caramba,1.340448735819476,0.29583134594866695,81.44226849137215,14
A,Tbred,Prosaro,2.7349834151475645,0.05234182073389557,172.8395477852143,10
A,Tbred,Miravis Ace,2.7669905037464866,0.49502204145938516,181.55261419384993,32
A,Tbred,Caramba,2.7232969861571816,0.8657064606377439,171.6914450518808,32
A,Flavia,Prosaro,0.9795814647393599,1.779506012089565,77.18126556009017,35
A,Flavia,Miravis Ace,2.0696937657121546,0.7452214330478135,123.028880917004,18
A,Flavia,Caramba,1.3700965925233728,2.004244130281627,89.799770865362035,24
B,Violetta,Prosaro,1.3807961208008703,0.6501559239787752,103.83935331958095,23
B,Violetta,Miravis Ace,2.0186502293083426,0.5451157293968995,133.6129459637121,23
B,Violetta,Caramba,1.8522060311153985,0.6782062458940531,121.95875741176292,23
B,Tbred,Prosaro,2.3621623642611005,0.7480590360644965,156.09912612568334,46
B,Tbred,Miravis Ace,2.935038177589994,1.0147290250377423,178.7097566775812,46
B,Tbred,Caramba,3.0015866895343013,0.9192533734211055,183.843232556582,45
B,Flavia,Prosaro,1.6005405304733649,1.8216461256152376,109.28401869576176,25
B,Flavia,Miravis Ace,1.731853512873386,1.5686105008558924,142.50343519585562,61
B,Flavia,Caramba,1.6053696859832998,3.623855099089022,117.7533902175786,47
C,Violetta,Prosaro,1.610973126008485,0.24308498582845017,106.93106454529935,18
C,Violetta,Miravis Ace,1.5590699798447132,0.5386668165103218,103.31826468910641,18
C,Violetta,Caramba,1.3821050848101661,0.4556067155133662,113.83710987693276,32
C,Tbred,Prosaro,2.4457945845628686,1.7569959241465984,155.95534855822754,65
C,Tbred,Miravis Ace,3.124142791301493,0.7978213352519568,194.5784818462067,53
C,Tbred,Caramba,2.4708721510158473,1.063766426314248,156.244196009195,57
C,Flavia,Prosaro,2.197401871963072,1.5501665407636502,138.17196421800023,36
C,Flavia,Miravis Ace,1.3600725988546976,1.2628269361898623,126.50814427473603,46
C,Flavia,Caramba,1.444763493136612,0.5199030392246947,NA,26
D,Violetta,Prosaro,1.2377203824033691,0.5345443611009657,99.87984303236067,36
D,Violetta,Miravis Ace,1.8814361388906362,0.9036785586419082,126.14065202456105,42
D,Violetta,Caramba,1.8102867522147652,1.0388577139295823,127.51854828484944,43
D,Tbred,Prosaro,2.8981201792990046,1.5121938747765344,167.6726749573493,62
D,Tbred,Miravis Ace,2.5790426496213477,1.016490139223512,171.35879887673138,47
D,Tbred,Caramba,2.5822966290431593,0.8269320968550101,150.3834415986019,52
D,Flavia,Prosaro,1.8940995969098968,3.2195554412709875,155.68253170709116,58
D,Flavia,Miravis Ace,1.8770939220572045,1.3212042492237464,144.16295314004572,49
D,Flavia,Caramba,1.706356774508385,3.9759966215806113,138.3484531696247,54
