Date,Barnyard,Surface,Frame,Sub_frame,Timing,Days_elapsed,Temp,CO2_mgC,CH4_mgC,NH3_ugN,N2O_ugN,CO2_mg,CH4_mg,NH3_mg,N2O_mg,CO2_eq
2011-05-17,1,SOIL,A,M,BEFORE,205,15.3,1.83E+02,6.99E-01,1.40E+02,2.73E+03,6.70E+02,9.32E-01,1.70E-01,4.29E+00,1.97E+03
2011-05-17,1,SOIL,B,M,BEFORE,205,16.2,2.60E+02,1.25E+00,4.68E+01,1.80E+03,9.52E+02,1.66E+00,5.68E-02,2.82E+00,1.83E+03
2011-05-17,2,SOIL,A,M,BEFORE,205,16.4,3.16E+02,3.48E+00,1.96E+02,3.96E+03,1.16E+03,4.64E+00,2.38E-01,6.23E+00,3.13E+03
2011-05-17,2,SOIL,B,M,BEFORE,205,16.5,3.05E+02,3.42E+00,4.25E+02,6.39E+03,1.12E+03,4.57E+00,5.17E-01,1.00E+01,4.23E+03
2011-05-17,3,SOIL,A,M,BEFORE,205,18.7,3.17E+02,4.61E+00,7.02E+02,1.50E+03,1.16E+03,6.15E+00,8.52E-01,2.35E+00,2.02E+03
2011-05-17,3,SOIL,B,M,BEFORE,205,18.3,1.05E+02,2.26E-01,3.23E+02,1.24E+03,3.85E+02,3.01E-01,3.92E-01,1.95E+00,9.76E+02
2011-05-17,4,SAND,A,M,BEFORE,205,16.1,2.52E+02,1.06E-01,NA,5.94E+03,9.24E+02,1.41E-01,NA,9.34E+00,NA
2011-05-17,4,SAND,B,M,BEFORE,205,15.6,3.14E+02,2.67E-01,1.56E+02,5.74E+03,1.15E+03,3.56E-01,1.89E-01,9.02E+00,3.85E+03
2011-05-17,5,SAND,A,M,BEFORE,205,17.5,3.54E+02,9.22E-02,NA,2.70E+03,1.30E+03,1.23E-01,NA,4.25E+00,NA
2011-05-17,5,SAND,B,M,BEFORE,205,17.7,2.92E+02,1.42E-01,NA,1.74E+03,1.07E+03,1.90E-01,NA,2.73E+00,NA
2011-05-17,6,SAND,A,M,BEFORE,205,18.9,1.80E+02,3.66E-02,NA,1.61E+03,6.60E+02,4.88E-02,NA,2.52E+00,NA
2011-05-17,6,SAND,B,M,BEFORE,205,18.9,4.02E+02,3.10E-01,2.43E+02,8.04E+03,1.48E+03,4.13E-01,2.95E-01,1.26E+01,5.25E+03
2011-05-17,7,BARK,A,M,BEFORE,205,15.5,7.47E+02,4.03E-02,NA,3.71E+01,2.74E+03,5.37E-02,NA,5.84E-02,NA
2011-05-17,7,BARK,B,M,BEFORE,205,15.7,8.48E+02,NA,NA,NA,3.11E+03,NA,NA,NA,NA
2011-05-17,8,BARK,A,M,BEFORE,205,17.4,7.82E+02,7.09E-02,NA,1.06E+01,2.87E+03,9.46E-02,NA,1.67E-02,NA
2011-05-17,8,BARK,B,M,BEFORE,205,17.8,1.42E+03,1.34E-01,NA,2.76E+02,5.19E+03,1.79E-01,NA,4.34E-01,NA
2011-05-17,9,BARK,A,M,BEFORE,205,18.9,8.07E+02,6.97E-02,NA,7.37E+01,2.96E+03,9.29E-02,NA,1.16E-01,NA
2011-05-17,9,BARK,B,M,BEFORE,205,19.1,4.55E+02,6.84E-02,NA,1.81E+01,1.67E+03,9.12E-02,NA,2.84E-02,NA
2011-05-19,1,SOIL,A,A,BEFORE,205,14.6,1.33E+02,7.47E-01,NA,1.45E+03,4.88E+02,9.96E-01,NA,2.29E+00,NA
2011-05-19,1,SOIL,B,A,BEFORE,205,14.4,1.70E+02,5.26E-01,NA,8.84E+02,6.24E+02,7.01E-01,NA,1.39E+00,NA
2011-05-19,2,SOIL,A,A,BEFORE,205,15.5,1.83E+02,3.31E+00,5.35E+01,1.66E+03,6.71E+02,4.41E+00,6.49E-02,2.61E+00,1.56E+03
2011-05-19,2,SOIL,B,A,BEFORE,205,15.7,1.62E+02,5.03E+00,3.82E+01,2.57E+03,5.94E+02,6.70E+00,4.64E-02,4.04E+00,1.97E+03
2011-05-19,3,SOIL,A,A,BEFORE,205,16.2,1.48E+02,5.16E+00,9.12E+01,8.18E+02,5.43E+02,6.88E+00,1.11E-01,1.29E+00,1.10E+03
2011-05-19,3,SOIL,B,A,BEFORE,205,16.2,2.54E+02,1.28E+00,5.97E+02,2.27E+03,9.30E+02,1.70E+00,7.25E-01,3.56E+00,2.04E+03
2011-05-19,4,SAND,A,A,BEFORE,205,14.6,1.73E+02,2.24E-02,NA,4.55E+03,6.35E+02,2.99E-02,NA,7.15E+00,NA
2011-05-19,4,SAND,B,A,BEFORE,205,14.9,2.61E+02,2.17E-01,1.19E+02,5.52E+03,9.55E+02,2.90E-01,1.44E-01,8.68E+00,3.55E+03
2011-05-19,5,SAND,A,A,BEFORE,205,15.9,1.94E+02,1.09E-01,NA,1.65E+03,7.12E+02,1.46E-01,NA,2.59E+00,NA
2011-05-19,5,SAND,B,A,BEFORE,205,15.7,1.75E+02,9.08E-02,NA,1.26E+03,6.41E+02,1.21E-01,NA,1.98E+00,NA
2011-05-19,6,SAND,A,A,BEFORE,205,17.2,2.40E+02,NA,NA,1.73E+03,8.80E+02,NA,NA,2.72E+00,NA
2011-05-19,6,SAND,B,A,BEFORE,205,15.3,2.32E+02,2.39E-01,8.84E+01,5.00E+03,8.50E+02,3.19E-01,1.07E-01,7.85E+00,3.20E+03
2011-05-19,7,BARK,A,A,BEFORE,205,15.4,7.83E+02,6.49E-03,NA,4.28E+02,2.87E+03,8.66E-03,NA,6.73E-01,NA
