field,treatment,biomass
f,high,15.294955022761773
f,high,14.507103698331267
f,high,12.980202694258779
f,high,13.647875144632174
f,high,14.171233509631934
f,high,13.601496421293703
f,high,14.128143969121481
f,high,16.401293540235528
f,high,13.989458178822487
f,high,13.852529686849795
f,low,11.808963371341838
f,low,13.627530833104519
f,low,11.886526910498857
f,low,12.368162356375766
f,low,10.502191826091709
f,low,11.77741049335863
f,low,11.921044019756337
f,low,11.088025832036625
f,low,12.390367901682279
f,low,13.229415085016738
f,control,11.737163306100532
f,control,8.466712232833462
f,control,10.648217299655801
f,control,9.657864207007174
f,control,10.346570889193986
f,control,9.124430883393822
f,control,10.072027159063563
f,control,10.473444697733177
f,control,9.530892639319358
f,control,9.803163055552478
g,high,20.311827265925785
g,high,19.859618736978003
g,high,19.716259985214183
g,high,18.000895935510435
g,high,18.768210269823022
g,high,17.81777746788784
g,high,17.129310203070215
g,high,18.911956617991407
g,high,16.835166247318696
g,high,18.376118584581615
g,low,16.2210902945965
g,low,18.3034718697403
g,low,15.561840260258581
g,low,17.898310851405864
g,low,17.69251192802149
g,low,15.742297731553073
g,low,19.909578711391504
g,low,18.36862149289375
g,low,15.670920380709399
g,low,17.78033770465446
g,control,14.809165303890087
g,control,14.774511487578813
g,control,14.739924047446252
g,control,13.023823390766927
g,control,14.326188026700324
g,control,12.622576652910311
g,control,15.17347781646675
g,control,15.489480266322632
g,control,16.377414100713747
g,control,14.588500656850064
h,high,22.38559209558217
h,high,24.300423923449834
h,high,22.97165490579324
h,high,23.739082419730686
h,high,24.607731654470264
h,high,22.297107731241418
h,high,22.909960207288034
h,high,23.76286987321879
h,high,24.833570022237744
h,high,23.45308292338772
h,low,21.87786722909183
h,low,21.040184838128916
h,low,22.20820091562326
h,low,21.4618806708818
h,low,19.384232479459783
h,low,22.647985025345964
h,low,22.719658458280584
h,low,22.89249149567098
h,low,20.60427520801026
h,low,21.69906909827548
h,control,20.310873152203357
h,control,18.961980094887025
h,control,19.225558897538544
h,control,19.958093698154624
h,control,20.222563048768023
h,control,21.33966177343207
h,control,19.434749699224973
h,control,20.475096875211882
h,control,21.049948608521415
h,control,20.675514681464055
i,high,19.31600994878275
i,high,18.48546370119651
i,high,20.326531219255454
i,high,17.78154976081458
i,high,17.601818717969362
i,high,17.423741593043403
i,high,19.173108044203
i,high,18.37326082812454
i,high,20.244080842410266
i,high,17.737976459927193
i,low,16.87887836467255
i,low,17.443431205471057
i,low,16.323282192038512
i,low,18.54395301112498
i,low,17.32370976317912
i,low,16.91546057392568
i,low,16.52807835353112
i,low,17.310326674583955
i,low,17.03705538641252
i,low,16.72548041660201
i,control,14.929050644026304
i,control,14.667721171407672
i,control,14.819755702974465
i,control,14.010544665334926
i,control,14.521051846313858
i,control,14.662842100776006
i,control,15.779261947470761
i,control,15.025003936282886
i,control,14.470840837876478
i,control,14.15222110412666
j,high,33.89175428431978
j,high,34.08112923882482
j,high,32.441124440209514
j,high,35.08217509399772
j,high,34.41334871053754
j,high,34.93010683975743
j,high,34.668411254161626
j,high,35.16048650839723
j,high,34.30546168044578
j,high,35.104417341179314
j,low,34.417632199974605
j,low,31.592312519488924
j,low,31.524739484066696
j,low,32.9730740451839
j,low,34.42813272141111
j,low,29.745210691413615
j,low,30.2897248298351
j,low,30.95588739016602
j,low,31.371534650939925
j,low,32.493071691593514
j,control,30.037432285595305
j,control,31.25810304412506
j,control,29.215527388135683
j,control,29.685930029379133
j,control,30.1819011051707
j,control,31.61325534313894
j,control,31.08675413699542
j,control,30.322389214304245
j,control,29.397026453644116
j,control,29.378566672033205
