location,yr,crop,plot,block,tillage,cover.trt,yield
IL,2012,m,101,1,rt,rye,10784
IL,2012,m,102,1,cp,rye,8552
IL,2012,m,103,1,rt,none,8728
IL,2012,m,104,1,cp,none,10194
IL,2012,m,203,2,rt,rye,9946
IL,2012,m,204,2,cp,rye,6882
IL,2012,m,207,2,cp,none,7388
IL,2012,m,208,2,rt,none,7276
IL,2012,m,301,3,cp,rye,10230
IL,2012,m,302,3,rt,rye,10495
IL,2012,m,305,3,cp,none,7791
IL,2012,m,306,3,rt,none,7617
IL,2012,m,403,4,cp,rye,7199
IL,2012,m,404,4,rt,rye,5942
IL,2012,m,405,4,cp,none,7412
IL,2012,m,406,4,rt,none,6702
IL,2013,m,105,1,rt,none,8944
IL,2013,m,106,1,cp,rye,11307
IL,2013,m,107,1,rt,rye,11923
IL,2013,m,108,1,rt,none,7459
IL,2013,m,201,2,cp,rye,10069
IL,2013,m,202,2,cp,none,8879
IL,2013,m,205,2,rt,rye,10522
IL,2013,m,206,2,rt,rye,11538
IL,2013,m,303,3,cp,rye,11042
IL,2013,m,304,3,cp,none,9847
IL,2013,m,307,3,rt,none,10657
IL,2013,m,308,3,rt,rye,12597
IL,2013,m,401,4,rt,none,12364
IL,2013,m,402,4,cp,none,11001
IL,2013,m,407,4,cp,rye,8715
IL,2013,m,408,4,rt,none,9502
IL,2014,m,101,1,rt,rye,13777
IL,2014,m,102,1,cp,rye,12629
IL,2014,m,103,1,rt,none,17517
IL,2014,m,104,1,cp,none,15780
IL,2014,m,203,2,rt,rye,12672
IL,2014,m,204,2,cp,rye,13624
IL,2014,m,207,2,cp,none,16320
IL,2014,m,208,2,rt,none,17034
IL,2014,m,301,3,cp,rye,14446
IL,2014,m,302,3,rt,rye,15764
IL,2014,m,305,3,cp,none,11395
IL,2014,m,306,3,rt,none,13954
IL,2014,m,403,4,cp,rye,14473
IL,2014,m,404,4,rt,rye,13628
IL,2014,m,405,4,cp,none,13025
IL,2014,m,406,4,rt,none,15480
IL,2015,m,105,1,cp,rye,11807
IL,2015,m,106,1,rt,rye,10610
IL,2015,m,107,1,cp,none,13005
IL,2015,m,108,1,rt,none,11989
IL,2015,m,201,2,cp,rye,9762
IL,2015,m,202,2,rt,rye,7690
IL,2015,m,205,2,cp,none,10116
IL,2015,m,206,2,rt,none,10053
IL,2015,m,303,3,cp,rye,10167
IL,2015,m,304,3,rt,rye,7137
IL,2015,m,307,3,cp,none,12909
IL,2015,m,308,3,rt,none,13259
IL,2015,m,401,4,cp,none,11829
IL,2015,m,402,4,rt,none,10374
IL,2015,m,407,4,rt,rye,12841
IL,2015,m,408,4,cp,rye,13944
MI,2012,m,103,1,cp,rye,4937
MI,2012,m,104,1,cp,none,5239
MI,2012,m,107,1,rt,none,4306
